0,83;0,616;0,264;0,541;0,256;0,247;0,768;0,758;0,829
0,89;0,775;0,331;0,569;0,304;0,249;0,872;0,873;0,884
0,925;0,805;0,384;0,635;0,301;0,219;0,89;0,887;0,891
0,929;0,858;0,415;0,671;0,289;0,239;0,896;0,902;0,904
0,928;0,835;0,454;0,637;0,29;0,256;0,904;0,905;0,915
0,939;0,87;0,454;0,64;0,305;0,256;0,909;0,916;0,904
0,94;0,892;0,511;0,672;0,337;0,241;0,925;0,915;0,909
0,94;0,89;0,496;0,663;0,324;0,249;0,915;0,909;0,918
0,941;0,905;0,514;0,671;0,341;0,262;0,924;0,915;0,917
0,946;0,893;0,549;0,668;0,347;0,267;0,913;0,917;0,924
